"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Tree","Display the try Editor Page under Tree Traversals page","0","1","2","2","0"
"","Graph","Open the try Editor page in Graph page","0","0","3","2","0"
"","QueuePage","Open the Implementation using Array Page","0","0","3","2","0"
"","Registration page functionality","check if user can register successfully with numerical password","0","0","3","2","0"
"","Tree","user navigates to Binary Tree Traversals Page and get the print message in the Editor Page","0","1","2","2","0"
"","Tree","Display the try Editor Page under Terminologies page","0","1","2","2","0"
"","Tree","user navigates to Implementation of Binary Trees Page and get the print message in the Editor Page","0","1","2","2","0"
"","Linked List","Get the TypeError message","0","0","3","2","0"
"","Registration page functionality","check if user can register successfully with invalid username (only symbols)","0","0","3","2","0"
"","Tree","user navigates to Types of Trees Page and get the print message in the Editor Page","0","1","2","2","0"
"","Tree","Get Alert Message of Syntx Error under Implementation Of BST","0","3","0","2","0"
"","Tree","Display the try Editor Page under Types of Trees page","0","1","2","2","0"
"","Data Structures-Introduction","Get Alert Message of Syntx Error","0","0","3","2","0"
"","Tree","user navigates to Applications of Binary trees Page and get the print message in the Editor Page","0","1","2","2","0"
"","Linked List","Open the Deletion Page","0","0","3","2","0"
"","Registration page functionality","check if user can register successfully with less than 8 characters","0","0","3","2","0"
"","HomePage","user get an Alert Message in DataStructure button","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error under Binary Search Trees Page","0","1","2","2","0"
"","Tree","Display the try Editor Page under Implementation in Python page","0","1","2","2","0"
"","Tree","user navigates to Implementation in Python Page","0","1","2","2","0"
"","Tree","user navigates to Binary Trees Page","0","1","2","2","0"
"","Tree","user navigates to Binary Trees Page and get the print message in the Editor Page","0","1","2","2","0"
"","Registration page functionality","check if user can register successfully when only confirmatory password field is blank","0","0","3","2","0"
"","Tree","user navigates to Applications of Binary trees Page","0","1","2","2","0"
"","Sign In Page","Attempts login with specific credentials","0","0","15","10","0"
"","Registration page functionality","user should be Redirected to login Page","0","0","9","6","0"
"","Tree","user navigates to Types of Binary Page","0","1","2","2","0"
"","Linked List","Open the Insertion Page","0","0","3","2","0"
"","Tree","user navigates to Tree Page","0","1","2","2","0"
"","Tree","Get Alert Message of Syntx Error under Binary Tree Traversals","0","1","2","2","0"
"","QueuePage","Redirect to try editor on Implementation of Queue in Python page","0","0","3","2","0"
"","Linked List","Open the Try Editor page in Introduction page","0","0","3","2","0"
"","Tree","user navigates to Types of Binary Page and get the print message in the Editor Page","0","1","2","2","0"
"","QueuePage","User Run Test in the try editor box on collection.deque page","0","0","3","2","0"
"","Linked List","Open the Traversal Page","0","0","3","2","0"
"","QueuePage","User opens editor on Queue operations page","0","0","3","2","0"
"","array","user navigates to practice questions and then to homepage and back to linked lists","0","0","3","2","0"
"","Registration page functionality","user Get Alert Message you are not Logged in","0","0","3","2","0"
"","Tree","Open the Practice Questions Page under Tree page","0","1","2","2","0"
"","StackPage","Print the message in the try Editor Box","0","4","0","6","0"
"","Tree","Display the try Editor Page under Binary Trees page","0","1","2","2","0"
"","Tree","user navigates to OverViewOfTree Page and get the print message in the Editor Page","0","1","2","2","0"
"","Linked List","Print the message in TryEditor box","0","0","9","6","0"
"","Linked List","Open the Practice Questions Page","0","0","3","2","0"
"","Tree","user navigates to Tree Traversals Page and get the print message in the Editor Page","0","1","2","2","0"
"","Tree","Display the try Editor Page under Binary Tree Traversals page","0","1","2","2","0"
"","StackPage","Open the try editor box in Implementation Stack Page","0","2","0","3","0"
"","Graph","User gets the syntaxError message","0","0","3","2","0"
"","StackPage","Open the Operations in Stack Page","0","2","0","3","0"
"","StackPage","Open the Implementation in Stack page","0","2","0","3","0"
"","Tree","user navigates to Traversals Illustration Page and get the print message in the Editor Page","0","1","2","2","0"
"","Tree","Get Alert Message of Syntx Error under Implementation in Python","0","1","2","2","0"
"","array","user navigates to get started page from arrays using list page","0","0","3","2","0"
"","array","user navigates to queue page through tree page from array page","0","0","3","2","0"
"","Linked List","Open the try editor page","0","0","3","2","0"
"","Tree","user navigates to Terminologies Page and get the print message in the Editor Page","0","1","2","2","0"
"","Graph","Open the Graph page","0","0","3","2","0"
"","Linked List","Get Syntax Error Message in tryEditor page","0","0","3","2","0"
"","Linked List","Open the page of Creating Linked List","0","0","3","2","0"
"","Sign In Page","Login Successfully with Valid Username and Valid Password","0","0","3","2","0"
"","Tree","user navigates to Terminologies Page","0","1","2","2","0"
"","array","user navigates to arrays in python page and tries to run without code","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error under Tree Traversals","0","1","2","2","0"
"","Graph","Print the message in the tryEditor Box","0","0","3","2","0"
"","Data Structures-Introduction","Open the Time Complexity page","0","0","3","2","0"
"","array","user tries search the array practice question with code and run button","0","0","3","2","0"
"","Tree","user navigates to Types of Trees Page","0","1","2","2","0"
"","HomePage","Display of Login page","0","0","3","2","0"
"","Tree","user navigates to Implementation Of BST Page","0","1","2","2","0"
"","StackPage","Open the try editor box in Applications Stack Page","0","2","0","3","0"
"","Tree","Display the try Editor Page under overview of Tree page","0","1","2","2","0"
"","Registration page functionality","check if user can successfully register without filling fields","0","0","3","2","0"
"","Tree","user navigates to Implementation in Python Page and get the print message in the Editor Page","0","1","2","2","0"
"","array","user navigates to arrays in python page and tries to run code","0","0","3","2","0"
"","QueuePage","Open the Implementation of Queue in Python page","0","0","3","2","0"
"","Tree","user navigates to Tree Traversals Illustration Page","0","1","2","2","0"
"","Graph","Open the Graph representation page","0","0","3","2","0"
"","Linked List","Open the page of Types of Linked List","0","0","3","2","0"
"","Linked List","Get the Attribute Error message","0","0","3","2","0"
"","QueuePage","Open the Queue page from the Data-Structures Dropdown","0","0","3","2","0"
"","Linked List","Open the page of Implement Linked List in Python","0","0","3","2","0"
"","QueuePage","Open the Implementation using Array, click on try editor and run the test","0","0","3","2","0"
"","Tree","Display the try Editor Page under Binary Search Trees page","0","1","2","2","0"
"","StackPage","Open the Stack page","0","0","2","3","0"
"","Data Structures-Introduction","Print Message hello world in the Editor Page","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error under Traversals Illustration","0","1","2","2","0"
"","Tree","user navigates to Implementation Of BST Page and get the print message in the Editor Page","0","1","2","2","0"
"","QueuePage","User Run Test in Try-editor on Queue operations page","0","0","3","2","0"
"","array","user tries to practice max consecutive ones code","0","0","3","2","0"
"","array","user tries search the array practice question using code and submit button","0","0","3","2","0"
"","array","user navigates to stack page through basic operations in lists page","0","0","3","2","0"
"","QueuePage","Open the Implementation of collections.deque Page","0","0","3","2","0"
"","array","user navigates to applications of array page and then logs out","0","0","3","2","0"
"","array","user navigates back to get started page from the basic lists page","0","0","3","2","0"
"","Tree","user navigates to Binary Tree Traversals Page","0","1","2","2","0"
"","Linked List","Get the alert message","0","0","3","2","0"
"","Tree","user navigates to Binary Search Trees Page and get the print message in the Editor Page","0","1","2","2","0"
"","Tree","Display the try Editor Page under Types of Binary page","0","1","2","2","0"
"","Graph","Open the Practice Questions Page","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error under Terminologies page","0","1","2","2","0"
"","Tree","user navigates to Binary Search Trees Page","0","1","2","2","0"
"","StackPage","Scenario: Open the Practice Questions Page and sign out","0","2","0","3","0"
"","Graph","Open the try Editor page in Graph Representations","0","0","3","2","0"
"","QueuePage","Open the practice Question Page and sign out","0","0","3","2","0"
"","Tree","Display the try Editor Page under Applications of Binary trees page","0","1","2","2","0"
"","HomePage","Display of Register page","0","0","3","2","0"
"","Tree","user navigates to Implementation of Binary Trees Page","0","1","2","2","0"
"","Linked List","Open the Introduction page","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error Types of Trees page","0","1","2","2","0"
"","Registration page functionality","check is user can register successfully with different passwords","0","0","3","2","0"
"","Registration page functionality","user successfully registers","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error under Implementation of Binary Trees","0","1","2","2","0"
"","StackPage","Get the SyntaxError","0","2","0","3","0"
"","HomePage","Verfify the Titlepage of DSPortalapp","0","0","3","2","0"
"","array","user tries search the array practice question without code and submit button","0","0","3","2","0"
"","Data Structures-Introduction","Open the DataStructures-Introduction page","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error under overview of Tree page","0","1","2","2","0"
"","Data Structures-Introduction","Display the try Editor Page with Run button to Test","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error under Types of Binary Trees","0","1","2","2","0"
"","Tree","Display the try Editor Page under Traversals Illustration page","0","1","2","2","0"
"","Tree","Get Alert Message of Syntx Error under Applications of Binary trees","0","1","2","2","0"
"","Tree","user navigates to OverViewOfTree Page","0","1","2","2","0"
"","Data Structures-Introduction","Open the Practice Questions Page","0","0","3","2","0"
"","HomePage","user get Alert Message","0","0","3","2","0"
"","QueuePage","Display Syntx Error Message","0","0","3","2","0"
"","Registration page functionality","check if user can register successfully with only valid username","0","0","3","2","0"
"","StackPage","Open the Applications in Stack Page","0","2","0","3","0"
"","Tree","Get Alert Message of Syntx Error under Binary Trees page","0","1","2","2","0"
"","Tree","Display the try Editor Page under Implementation Of BST page","0","1","2","2","0"
"","Tree","Display the try Editor Page under Implementation of Binary Trees page","0","1","2","2","0"
"","array","user tries to get to the graph page through practice questions page","0","0","3","2","0"
"","Tree","user navigates to Tree Traversals Page","0","1","2","2","0"
